111,UNABLE TO DETERMINE,11
112,UNABLE TO DETERMINE,30
113,IMPROPER LANE USAGE,8
113,FAILING TO YIELD RIGHT-OF-WAY,8
114,UNABLE TO DETERMINE,47
122,UNABLE TO DETERMINE,22
123,UNABLE TO DETERMINE,15
124,UNABLE TO DETERMINE,25
212,UNABLE TO DETERMINE,16
222,UNABLE TO DETERMINE,23
312,FAILING TO REDUCE SPEED TO AVOID CRASH,25
321,UNABLE TO DETERMINE,16
323,UNABLE TO DETERMINE,20
324,UNABLE TO DETERMINE,17
331,UNABLE TO DETERMINE,46
332,UNABLE TO DETERMINE,21
411,FOLLOWING TOO CLOSELY,12
412,UNABLE TO DETERMINE,18
413,FOLLOWING TOO CLOSELY,16
413,UNABLE TO DETERMINE,16
414,UNABLE TO DETERMINE,25
421,DISREGARDING STOP SIGN,5
421,UNABLE TO DETERMINE,5
422,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,10
423,EXCEEDING AUTHORIZED SPEED LIMIT,7
424,FOLLOWING TOO CLOSELY,4
431,UNABLE TO DETERMINE,16
511,UNABLE TO DETERMINE,32
512,UNABLE TO DETERMINE,31
513,UNABLE TO DETERMINE,12
522,UNABLE TO DETERMINE,8
523,UNABLE TO DETERMINE,13
524,UNABLE TO DETERMINE,15
533,UNABLE TO DETERMINE,13
611,UNABLE TO DETERMINE,14
612,UNABLE TO DETERMINE,16
613,UNABLE TO DETERMINE,7
621,UNABLE TO DETERMINE,19
623,UNABLE TO DETERMINE,35
624,UNABLE TO DETERMINE,16
631,UNABLE TO DETERMINE,11
632,UNABLE TO DETERMINE,47
712,UNABLE TO DETERMINE,9
713,UNABLE TO DETERMINE,19
725,UNABLE TO DETERMINE,13
735,FAILING TO REDUCE SPEED TO AVOID CRASH,13
813,UNABLE TO DETERMINE,24
815,UNABLE TO DETERMINE,32
823,UNABLE TO DETERMINE,23
825,FOLLOWING TOO CLOSELY,9
825,UNABLE TO DETERMINE,9
831,UNABLE TO DETERMINE,17
832,UNABLE TO DETERMINE,9
833,UNABLE TO DETERMINE,34
834,UNABLE TO DETERMINE,23
835,UNABLE TO DETERMINE,15
1011,UNABLE TO DETERMINE,9
1014,UNABLE TO DETERMINE,17
1021,UNABLE TO DETERMINE,3
1022,UNABLE TO DETERMINE,6
1024,UNABLE TO DETERMINE,13
1112,FAILING TO YIELD RIGHT-OF-WAY,15
1113,UNABLE TO DETERMINE,11
1121,UNABLE TO DETERMINE,15
1122,UNABLE TO DETERMINE,25
1123,UNABLE TO DETERMINE,10
1131,UNABLE TO DETERMINE,12
1132,UNABLE TO DETERMINE,11
1133,UNABLE TO DETERMINE,14
1134,UNABLE TO DETERMINE,14
1135,UNABLE TO DETERMINE,9
1214,UNABLE TO DETERMINE,14
1223,UNABLE TO DETERMINE,11
1224,UNABLE TO DETERMINE,19
1232,FOLLOWING TOO CLOSELY,22
1232,UNABLE TO DETERMINE,22
1424,UNABLE TO DETERMINE,18
1522,UNABLE TO DETERMINE,40
1524,UNABLE TO DETERMINE,15
1531,UNABLE TO DETERMINE,13
1532,UNABLE TO DETERMINE,21
1533,UNABLE TO DETERMINE,18
1712,UNABLE TO DETERMINE,21
1723,UNABLE TO DETERMINE,18
1821,UNABLE TO DETERMINE,13
1822,UNABLE TO DETERMINE,37
1824,UNABLE TO DETERMINE,56
1831,UNABLE TO DETERMINE,54
1833,UNABLE TO DETERMINE,40
1834,UNABLE TO DETERMINE,87
1924,UNABLE TO DETERMINE,18
2223,UNABLE TO DETERMINE,11
2234,UNABLE TO DETERMINE,23
2413,UNABLE TO DETERMINE,47
2422,IMPROPER BACKING,8
2512,UNABLE TO DETERMINE,42
2515,UNABLE TO DETERMINE,25
2521,UNABLE TO DETERMINE,35
2532,UNABLE TO DETERMINE,23
2533,UNABLE TO DETERMINE,24
2534,UNABLE TO DETERMINE,28
